fibre,rating,price_per_unit,fat,carbohydrates,starch,protein,unit,product_origin,energy_kj,total_sugars,salt,item_code,url,name,reviews,energy_kcal,saturates
,3.5,£13.00/kg,,,,,kg,Produced in United Kingdom; Produced using British beef,,,,70416,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-lamb-half-leg--so-organic-%28approx-218kg%29,"Sainsbury's Lamb Half Leg, SO Organic",4,,
,3.4,£7.50/unit,,,,,unit,Produced in United Kingdom; Packed in United Kingdom; Produced from British Beef,,,,7876569,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-small-roasting-joint--so-organic-600g,"Sainsbury's 30 Day Matured Small Roasting Joint, SO Organic 600g",5,,
,2.375,£4.25/kg,,,,,kg,Packed in United Kingdom; Produced using British pork,,,,7585321,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1234416&urlRequestType=Base&categoryId=411855&catalogId=10146&langId=44,Sainsbury's British Small Pork Crackling Leg Joint 600g - 999g,8,,
,3.0,£0.70/unit,,,,,unit,"Grown in France, Northern Ireland, Scotland, United Kingdom",,,,6002373,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-carrots-1kg,Sainsbury's Carrots 1kg,2,,
,4.1429,£3.50/unit,,,,,unit,Produced in United Kingdom; Produced using British or Irish beef,,,,7542971,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-beef-mince-5-fat-500g,Sainsbury's Beef Mince 5% Fat 500g,28,,
,3.6667,£3.50/unit,,,,,unit,Packed in United Kingdom; Farmed in Scotland; Produced from Farmed Scottish (UK) Atlantic Salmon (Salmo salar),,,,6447344,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-responsibly-sourced-scottish-salmon-fillet-x2-240g,Sainsbury's Responsibly Sourced Scottish Salmon Fillets x2 240g,45,,
,3.0,£1.50/unit,,,,,unit,Produced in United Kingdom. Produced using British Pork,,,,7103155,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-british-breaded-ham-120g,Sainsbury's British Breaded Ham 120g,11,,
,3.12,£2.50/unit,,,,,unit,Produced in United Kingdom; Produced from British pork,,,,7554911,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-air-dried-lean-ham-finely-sliced--taste-the-difference-120g,"Sainsbury's Air Dried Ham Lean Finely Sliced, Taste the Difference 120g",25,,
,2.7778,£1.75/unit,,,,,unit,Produced in United Kingdom; Produced from British Pork,,,,7103166,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-british-honey-roast-ham-120g,Sainsbury's Honey Roast British Ham Slices x7 120g,9,,
,2.0811,£4.20/unit,,,,,unit,Produced in United Kingdom; Produced using British chicken; Produced from British chicken,,,,7874927,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-whole-chicken-breast-fillets-640g,Sainsbury's Chicken Breast Fillets 640g,37,,
,4.1429,£2.50/unit,,,,,unit,Produced in United Kingdom. Produced using British Pork,,,,7642393,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-breaded-ham-240g,Sainsbury's Breaded Ham Slices x14 240g,7,,
,3.2857,£1.65/unit,,,,,unit,Produced in United Kingdom; Produced using British Pork,,,,6025936,https://www.sainsburys.co.uk/shop/gb/groceries/top-sellers-276035-44/sainsburys-butchers-choice-pork-sausages--large-x8-454g,Sainsbury's Butcher's Choice Pork Sausages x8 454g,35,,
