item_code,nutritions,price_per_unit,product_image,product_name,product_origin,product_reviews,rating,unit,url
7655417,"{'Energy': '372kJ', 'Energy kcal': '89kcal', 'Fat': '4.8g', 'Saturates': '1.9g', 'Mono-unsaturates': '2.1g', 'Polyunsaturates': '0.7g', 'Carbohydrate': '7.0g', 'Sugars': '2.5g', 'Starch': '4.5g', 'Fibre': '<0.5g', 'Protein': '4.2g', 'Salt': '0.75g'}",£3.15,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/77/0000000130677/0000000130677_L.jpeg,"Sainsbury's Beef Gravy, Taste the Difference 450g",Produced in United Kingdom Packed in United Kingdom,7,4.2857,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-beef-gravy--taste-the-difference-450g
7514661,"{'Energy': '323kJ', 'Energy kcal': '78kcal', 'Fat': '5.4g', 'Saturates': '3.5g', 'Mono unsaturates': '1.4g', 'Polyunsaturates': '<0.1g', 'Carbohydrate': '5.3g', 'Total Sugars': '2.1g', 'Starch': '3.2g', 'Fibre': '<0.5g', 'Protein': '1.7g', 'Salt': '0.50g'}",£1.60,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/47/0000001803747/0000001803747_L.jpeg,Sainsbury's Parsley Sauce 300g,Produced in United Kingdom,7,3.5714,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-parsley-sauce-300g
7514111,"{'Energy': '1069kJ', 'Energy kcal': '259kcal', 'Fat': '25.7g', 'Saturates': '16.6g', 'Mono-unsaturates': '6.5g', 'Polyunsaturates': '1.0g', 'Carbohydrate': '5.0g', 'Sugars': '0.9g', 'Starch': '4.1g', 'Fibre': '<0.5g', 'Protein': '1.7g', 'Salt': '0.78g'}",£1.30,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/51/0000001803051/0000001803051_L.jpeg,Sainsbury's Hollandaise Sauce 125g,Produced in United Kingdom,7,4.4286,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-hollandaise-sauce-125g
7514061,"{'Energy': '102kJ', 'Energy kcal': '24kcal', 'Fat': '<0.5g', 'Saturates': '<0.1g', 'Mono-unsaturates': '<0.1g', 'Polyunsaturates': '<0.1g', 'Carbohydrate': '<0.5g', 'Sugars': '<0.5g', 'Fibre': '<0.5g', 'Protein': '5.1g', 'Salt': '0.25g'}",£2.10,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/17/0000001802917/0000001802917_L.jpeg,Sainsbury's Beef Stock 450g,Produced in United Kingdom Packed in United Kingdom Produced using Beef from the UK,3,5.0,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-beef-stock-450g
1363289,"{'Energy': '248kJ', 'Energy kcal': '59kcal', 'Fat': '1.5g', 'Saturates': '0.4g', 'Carbohydrate': '4.2g', 'Total Sugars': '0.6g', 'Starch': '3.6g', 'Fibre': '<0.5g', 'Protein': '6.9g', 'Salt': '1.00g'}",£3.15,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/89/0000001363289/0000001363289_L.jpeg,"Sainsbury's Chicken Gravy, Taste the Difference 450g",Produced in United Kingdom. Produced using British Chicken,6,3.1667,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-signature-chicken-gravy--taste-the-difference-450g
7514065,"{'Energy': '79kJ', 'Energy kcal': '19kcal', 'Fat': '<0.5g', 'Saturates': '<0.1g', 'Mono-unsaturates': '<0.1g', 'Polyunsaturates': '<0.1g', 'Carbohydrate': '<0.5g', 'Sugars': '<0.5g', 'Starch': '0g', 'Fibre': '<0.5g', 'Protein': '4.1g', 'Salt': '0.25g'}",£2.10,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/24/0000001802924/0000001802924_L.jpeg,Sainsbury's Chicken Stock 450g,Produced in United Kingdom Packed in United Kingdom Produced using Chicken from the UK,9,3.5556,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-chicken-stock-450g
7514091,"{'Energy': '429kJ', 'Energy kcal': '103kcal', 'Fat': '8.2g', 'Saturates': '5.2g', 'Mono-unsaturates': '2.2g', 'Polyunsaturates': '0.2g', 'Carbohydrate': '3.6g', 'Sugars': '1.0g', 'Starch': '2.6g', 'Fibre': '1.2g', 'Protein': '3.2g', 'Salt': '0.75g'}",£1.30,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/55/0000001802955/0000001802955_L.jpeg,Sainsbury's Peppercorn Sauce 150g,Produced in United Kingdom,9,3.1111,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-peppercorn-sauce-150g
7231326,{},£2.00,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/19/5019503002119/5019503002119_L.jpeg,Quorn Crispy Fillets x2  200g,,7,3.8571,,https://www.sainsburys.co.uk/shop/gb/groceries/meat-free-/quorn-crispy-fillets-200g
7946991,{},£5.70,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/32/5016157078132/5016157078132_L.jpeg,Gressingham Bistro Duck Legs With Honey & Hoisin x2 530g,,0,0.0,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1258808&urlRequestType=Base&categoryId=312365&catalogId=10229&langId=44
7954988,{},£6.00,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/97/5034231004297/5034231004297_L.jpeg,Gressingham Half Aromatic Crispy Duck 550g,,1,5.0,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1270648&urlRequestType=Base&categoryId=312365&catalogId=10252&langId=44
7946996,{},£5.00,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/25/5016157078125/5016157078125_L.jpeg,Gressingham Bistro Duck Legs With Orange & Maple x2 530g,,0,0.0,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1258812&urlRequestType=Base&categoryId=312365&catalogId=10229&langId=44
6450995,"{'Energy': '583kJ', 'Energy kcal': '138kcal', 'Fat': '2.6g', 'Saturates': '0.9g', 'Mono-unsaturates': '1.0g', 'Polyunsaturates': '0.6g', 'Carbohydrate': '<0.5g', 'Sugars': '<0.5g', 'Fibre': '<0.5g', 'Protein': '28.2g', 'Sodium': '0.05g', 'Salt': '0.13g'}",£7.50,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/90/0000001442090/0000001442090_L.jpeg,"Sainsbury's Venison Steak, Taste the Difference 250g",Produce of Scotland Packed in England Produced using Wild Scottish Venison,2,3.0,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1153156&urlRequestType=Base&categoryId=312365&catalogId=10252&langId=44
7938053,"{'Energy': '808kJ', 'Energy kcal': '193kcal', 'Fat': '8.8g', 'Saturates': '2.3g', 'Mono-unsaturates': '3.9g', 'Polyunsaturates': '2.2g', 'Carbohydrate': '<0.5g', 'Sugars': '<0.5g', 'Fibre': '0.6g', 'Protein': '28.0g', 'Salt': '0.15g'}",£5.00,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/63/0000000342063/0000000342063_L.jpeg,"Sainsbury's Whole Guinea Fowl, Taste the Difference 1.05kg",Produced in United Kingdom Produced using French Guinea Fowl,1,4.0,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1248430&urlRequestType=Base&categoryId=312365&catalogId=10252&langId=44
6685431,"{'Energy': '701kJ', 'Energy kcal': '166kcal', 'Fat': '4.1g', 'Saturates': '1.2g', 'Carbohydrate': '<0.5g', 'Sugars': '<0.5g', 'Protein': '31.7g', 'Salt': '0.43g'}",£4.00,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/77/0000001543377/0000001543377_L.jpeg,"Sainsbury's Wood Pigeon Breast Fillet, Taste the Difference 140g",Produced in United Kingdom Produced using British woodpigeon,1,5.0,,https://www.sainsburys.co.uk/shop/gb/groceries/duck--game---venison/sainsburys-wood-pigeon-breast-fillet--taste-the-difference-140g-6685431-p-44
7878107,"{'Energy': '428kJ', 'Energy kcal': '101kcal', 'Fat': '2.4g', 'Saturates': '1.3g', 'Mono-unsaturates': '0.9g', 'Polyunsaturates': '0.2g', 'Carbohydrate': '4.8g', 'Sugars': '2.6g', 'Fibre': '1.0g', 'Protein': '14.6g', 'Salt': '0.57g'}",£7.00,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/86/0000000299886/0000000299886_L.jpeg,Sainsbury's Slow Cook Venison Casserole 530g (Serves 2),"Produced in United Kingdom Produced using British Venison, New Zealand Venison",6,4.8333,,https://www.sainsburys.co.uk/shop/gb/groceries/duck--game---venison/sainsburys-slow-cook-venison-casserole-530g
6451435,"{'Energy': '918kJ', 'Energy kcal': '220kcal', 'Fat': '12.0g', 'Saturates': '4.1g', 'Carbohydrate': '0g', 'Sugars': '0g', 'Protein': '27.9g', 'Salt': '0.25g'}",£4.00,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/29/0000001442229/0000001442229_L.jpeg,"Sainsbury's Pheasant Fillets, Taste the Difference 160g",Produced in United Kingdom Produced using British Pheasant,1,4.0,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1077920&urlRequestType=Base&categoryId=312365&catalogId=10252&langId=44
