item_code,product_name,url,price_per_unit,unit,rating,product_reviews,product_origin,product_image,Mono unsaturates,sugars,of which sugars:,of which Sugars,of which Sugars:,Vitamin A,Energy (kJ),Fat g,- sugars,Vitamin D,Proteine,image_urls,Fat:,- mono-unsaturates,Of which Sugars,Trans Fat,Total fat,Energy kcal,Fat (g),of which - Sugars,Carbohydrate:,(of which sugars),Trans Fats,of which saturated fatty acids,of which saturates [g],and EPA,Fibre g,Iron,Salt:,Fats,Protein g,- kcal,-of which sugars,DHA,poly-unsaturated,of which saturates (g),of which sugars :,Carbohydrate [g],- of which saturates (g),Fibre :,EPA,Energy,Of which saturates,Proteins,Carbohydrate g,Energy [kJ/kcal],Protein (g),Total Omega  3,Fat [g],of which saturates g,Energy:,- polyunsaturates,Starch,Calcium,Carbohydrate (g),of which sugar,Energy kJ,of which sugars [g],- of which Saturates,of which DHA,Trans fat,of which sugars,Polyunsaturates,Fibres,mono unsaturates,Total Sugars,Energy :,Fiber,Omega 3 Fatty Acids,- of which sugars (g),Vitamin B12,Omega 3,-of which saturates,Omega 3 fatty acids,of which saturated,Sodium,Protein [g],Protein :,Energy kJ/kcal,of which sugars (g),kcal,Salt (g),Energy value,Fat :,of which Saturates,Carbohydrate,of which sugars g,of which saturates :,thereof saturated fatty acids,Fibre:,of which saturates:,Thiamin (Vitamin B1),- starch,Salt,Vitamin C,Carbohydrate :,Carbohydrates:,Salt :,Polyols,mono-unsaturated,(of which saturates),Fibre [g],(of which sugars,trans fat,Energy (kcal),Dietary fibre,(kcal),Protein,Energy - kJ,- of which Sugars,saturates,- saturates,Of which: Saturates,of which - Saturates,polyunsaturates,Of which Saturates,- of which sugars,Fibre (g),of which saturates,Saturates,Energy kg/kcal,Potassium,Amount of sugar,of which saturated fats,Salt [g],- of which saturates,(of which saturates,Salt g,Omega 6,Carbohydrates,Protein:,Mono-unsaturates,Carbohydrates (g),Sugars,Of which: Sugars,of which Saturates:,Of which sugars,images,Fat,mono-unsaturates,of which: sugars,of which: saturates,Fibre,of which is saturated,of which: Saturates,Cholesterol
7912011,Tariq Halal Beef Mince 450g,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1209644&urlRequestType=Base&categoryId=276045&catalogId=10122&langId=44,£3.50,,,,,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/14/5391509286114/5391509286114_L.jpeg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475kJ /,,,,,,,,,,,,,,,,,,,,0.0g,,,,,,,,,,,,,,,,,,,,,,,,0.0g,,,,,,,,0.4g,,,,,,,,,,,,,,19.5g,,,,,,,,,,,5.2g,,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/14/5391509286114/5391509286114_L.jpeg', 'path': 'full/a0c3471fea85452b068b2b8a6a3345f0e79ea503.jpg', 'checksum': '9accaaa6f4ebc15c2c5b41110d2985b6'}]",11.8g,,,,0.0g,,,
6584476,"Sainsbury's Welsh Hill Carvery Leg Of Lamb, Taste the Difference (approx. 1.3kg)",https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1254668&urlRequestType=Base&categoryId=312354&catalogId=10119&langId=44,£15.00,,,,Produced in Wales Produced using Welsh lamb,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/02/0211480000002/0211480000002_L.jpeg'],,,,,,239kcal,,,,,,,,,,,,,,,,,,,,,,,,994kJ,,,,,,,,,,,,,,,,,,,,,0.8g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.23g,,,,,,,,,,,,,,17.6g,,,,,,,,,,,,9.5g,,,,,,,,,,,,7.3g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/02/0211480000002/0211480000002_L.jpeg', 'path': 'full/5d2e037b11692016993363b9c0c78e3ee7d9efca.jpg', 'checksum': '0c3331d931b679c970d086c690e97fd4'}]",18.7g,,,,<0.5g,,,
7883254,"Sainsbury's Welsh Hill Mini Shoulder Joint, Taste the Difference 450g",https://www.sainsburys.co.uk/shop/gb/groceries/roasting-joints-312354-44/sainsburys-welsh-hill-mini-shoulder-joint--taste-the-difference-450g,£6.75,,,,Produced in Wales Produced using Welsh lamb,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/26/0000000304726/0000000304726_L.jpeg'],,,,,,203kcal,,,,,,,,,,,,,,,,,,,,,,,,847kJ,,,,,,,,,,,,,,,,,,,,,0.9g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.23g,,,,,,,,,,,,,,17.8g,,,,,,,,,,,,6.9g,,,,,,,,,,,,5.8g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/26/0000000304726/0000000304726_L.jpeg', 'path': 'full/e0176b2f12c775e93115b7d873a70e638f0e5ab0.jpg', 'checksum': 'bb6c3f980ae8568263c70192c4075faa'}]",14.4g,,,,<0.5g,,,
7824643,"Sainsbury's Lamb Half Leg, Taste the Difference (approx. 1kg)",https://www.sainsburys.co.uk/shop/gb/groceries/roasting-joints-312354-44/sainsburys-lamb-half-leg--taste-the-difference-%28approx-105kg%29,£12.00,,,,Produced in Wales Produced using Welsh Lamb,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/06/0215040000006/0215040000006_L.jpeg'],,,,,,239kcal,,,,,,,,,,,,,,,,,,,,,,,,992kJ,,,,,,,,,,,,,,,,,,,,,0.8g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.23g,,,,,,,,,,,,,,17.6g,,,,,,,,,,,,9.5g,,,,,,,,,,,,7.3g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/06/0215040000006/0215040000006_L.jpeg', 'path': 'full/c2138162dabcc82f0dddf93ef58f6cb705cfaef2.jpg', 'checksum': '0efbb508a49b6d6c83f3c30da9b87015'}]",18.7g,,,,<0.5g,,,
7898288,Sainsbury's New Zealand Lamb Whole Shoulder (approx. 1.6kg),https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1257568&urlRequestType=Base&categoryId=312354&catalogId=10119&langId=44,£7.50,,,,"Packed in United Kingdom Produce of United Kingdom Produced in United Kingdom Produced using British Lamb, New Zealand Lamb Produced from British, New Zealand",,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/SainsburysStorefrontAssetStore/wcassets/product_images/GM/media_7898288_L.jpg'],,,,,,237kcal,,,,,,,,,,,,,,,,,,,,,,,,983kJ,,,,,,,,,,,,,,,,,,,,,0.8g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.20g,,,,,,,,,,,,,,15.9g,,,,,,,,,,,,9.5g,,,,,,,,,,,,7.7g,,<0.5g,,,,[],19.1g,,,,<0.5g,,,
7607825,"Sainsbury's Veal Mince, Taste the Difference 500g",https://www.sainsburys.co.uk/shop/gb/groceries/all-beef/sainsburys-freedom-food-veal-mince--taste-the-difference-500g,£5.50,,,,Packed in United Kingdom. Produced using British veal,,6.4g,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/45/0000001888645/0000001888645_L.jpeg'],,,,,,224kcal,,,,,,,,,,,,,,,,,,,,,,,,935kJ,,,,,,,,,,,,,,,,,,,,,1.0g,,,<0.5g,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.23g,,,,,,,,,,,,,,25.9g,,,,,,,,,,,,5.4g,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/45/0000001888645/0000001888645_L.jpeg', 'path': 'full/04ce7c5e448e2e1aaee5bfc1cb636129d0621341.jpg', 'checksum': 'b8f6fb79589527b4b980bc2a88c06470'}]",13.3g,,,,<0.5g,,,
7876526,Sainsbury's Small Fatted Beef Roasting Joint 500g,https://www.sainsburys.co.uk/shop/gb/groceries/all-beef/sainsburys-small-fatted-beef-roasting-joint-500g,£5.50,,,,"Packed in United Kingdom Produced in United Kingdom Produced from British Beef,, Irish Beef Produced using British beef, British or Irish Beef, Irish beef",,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/09/0000000298209/0000000298209_L.jpeg'],,,,,,183kcal,,,,,,,,,,,,,,,,,,,,,,,,772kJ,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.18g,,,,,,,,,,,,,,33.0g,,,,,,,,,,,,2.2g,,,,,,,,,,,,3.0g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/09/0000000298209/0000000298209_L.jpeg', 'path': 'full/6046a3d3f6f8d8c490738a88bd8bbe5da4664763.jpg', 'checksum': '303c8550c667c0fc67be1caf3560a49f'}]",5.6g,,,,<0.5g,,,
7866082,"Sainsbury's Veal Roasting Joint, Taste the Difference (approx. 625g)",https://www.sainsburys.co.uk/shop/gb/groceries/all-beef/sainsburys-veal-roasting-joint--taste-the-difference-%28approx-1kg%29,£25.00,,,,Packed in United Kingdom Produced using British Veal,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/06/0220440000006/0220440000006_L.jpeg'],,,,,,146kcal,,,,,,,,,,,,,,,,,,,,,,,,615kJ,,,,,,,,,,,,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.13g,,,,,,,,,,,,,,27.4g,,,,,,,,,,,,1.5g,,,,,,,,,,,,2.0g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/06/0220440000006/0220440000006_L.jpeg', 'path': 'full/d59baf6c682aca80730cf48f2c0f3014611c22ee.jpg', 'checksum': '5d8c0e8e4e05f70bce4966fbf125f6db'}]",4.0g,,,,<0.5g,,,
7944488,Sainsbury's Butcher's Choice British Beef Grill Steaks x2 340g,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1254586&urlRequestType=Base&categoryId=276043&catalogId=10862&langId=44,£1.75,,,,Produced in United Kingdom Produced using British Beef,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/18/0000000346818/0000000346818_L.jpeg'],,,,,,248kcal,,,,,,,,,,,,,,,,,,,,,,,,1033kJ,,,,,,,,,,,,,,,,,,,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,3.7g,,,,,,,,1.01g,,,,,,,,,,,,,,21.3g,,,,,,,,,,,,7.4g,,,,,,,,,,,,7.3g,,0.7g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/18/0000000346818/0000000346818_L.jpeg', 'path': 'full/92f5db76230b132b31b79d974255da0af9efa61b.jpg', 'checksum': '783651bd7c2bae51fa6555f2d5451103'}]",16.3g,,,,,,,
7866023,"Sainsbury's Veal Rump Steak, Taste the Difference 170g",https://www.sainsburys.co.uk/shop/gb/groceries/all-beef/sainsburys-veal-rump-steak--taste-the-difference-170g,£6.50,,,,Packed in United Kingdom Produced using British veal,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/98/0000000288798/0000000288798_L.jpeg'],,,,,,118kcal,,,,,,,,,,,,,,,,,,,,,,,,498kJ,,,,,,,,,,,,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,1.5g,,,,,,,,0.15g,,,,,,,,,,,,,,21.8g,,,,,,,,,,,,1.0g,,,,,,,,,,,,1.3g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/98/0000000288798/0000000288798_L.jpeg', 'path': 'full/2990f341e79a0e18573fa8a1ee3f064e1ed70fd6.jpg', 'checksum': 'ab4f726de2db0c057d81ef73dc550339'}]",2.7g,,,,<0.5g,,,
7876605,"Sainsbury's 30 Day Matured Bone In Ribeye Steak, Taste the Difference (approx. 800g)",https://www.sainsburys.co.uk/shop/gb/groceries/all-beef/sainsburys-bone-in-ribeye-steak--taste-the-difference,£22.00,,,,Packed in United Kingdom Produced in United Kingdom Produced using British Beef,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/08/0221940000008/0221940000008_L.jpeg'],,,,,,318kcal,,,,,,,,,,,,,,,,,,,,,,,,1320kJ,,,,,,,,,,,,,,,,,,,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.13g,,,,,,,,,,,,,,21.8g,,,,,,,,,,,,11.0g,,,,,,,,,,,,13.0g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/08/0221940000008/0221940000008_L.jpeg', 'path': 'full/cafd7d3d31db5d9921672e0d8feb171a0b7893ee.jpg', 'checksum': '4a9605bd9bfbf59f5c8ff3e9c5e1ea2f'}]",25.6g,,,,<0.5g,,,
7911979,Tariq Halal Beef Sirloin Steak 200g,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1209630&urlRequestType=Base&categoryId=276043&catalogId=10119&langId=44,£5.00,,,,,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/52/5391509286152/5391509286152_L.jpeg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840kJ/,,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,0.2g,,,,,,,,,,,,,,20.5g,,,,,,,,,,,4.3g,,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/52/5391509286152/5391509286152_L.jpeg', 'path': 'full/020f0808cd159cf64dcfa94afafa1d156e43bfab.jpg', 'checksum': '3836a83c3ec5fa00c5b7c966ea1d170b'}]",10.5g,,,,,,,
7908311,Sainsburys 21 Day Matured British Beef Topside Joint with Salt & Pepper Seasoning 375g,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1204534&urlRequestType=Base&categoryId=276043&catalogId=10231&langId=44,£4.00,,,,"Produced in United Kingdom Packed in United Kingdom Produced using British or Irish Beef,",,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/45/0000000318945/0000000318945_L.jpeg'],,,,,,161kcal,,,,,,,,,,,,,,,,,,,,,,,,682kJ,,,,,,,,,,,,,,,,,,,,,<0.1g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.53g,,,,,,,,,,,,,,33.2g,,,,,,,,,,,,1.4g,,,,,,,,,,,,1.3g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/45/0000000318945/0000000318945_L.jpeg', 'path': 'full/c468a3c47161c247897b51a9bb2ded18fee463e9.jpg', 'checksum': 'cfadbfd35b38a479ca4034f4aa343008'}]",3.0g,,,,<0.5g,,,
7912006,Tariq Halal Diced Beef 400g,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1209642&urlRequestType=Base&categoryId=276043&catalogId=10123&langId=44,£4.00,,,,,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/91/5391509286091/5391509286091_L.jpeg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475kJ /,,,,,,,,,,,,,,,,,,,,<0.1g,,,,,,,,,,,,,,,,,,,,,,,,<0.1g,,,,,,,,0.2g,,,,,,,,,,,,,,21.4g,,,,,,,,,,,1.2g,,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/91/5391509286091/5391509286091_L.jpeg', 'path': 'full/75c0f8a6619d26faab000fff205af6e2163ee810.jpg', 'checksum': 'c8a516b3aea53a8bd6f18b19f48dfa1e'}]",3.0g,,,,<0.5g,,,
7866017,"Sainsbury's Diced Veal, Taste the Difference 450g",https://www.sainsburys.co.uk/shop/gb/groceries/all-beef/sainsburys-diced-veal--taste-the-difference-450g,£7.50,,,,Packed in United Kingdom Produced using British veal,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/81/0000000288781/0000000288781_L.jpeg'],,,,,,161kcal,,,,,,,,,,,,,,,,,,,,,,,,681kJ,,,,,,,,,,,,,,,,,,,,,0.8g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.17g,,,,,,,,,,,,,,31.0g,,,,,,,,,,,,0.7g,,,,,,,,,,,,2.4g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/81/0000000288781/0000000288781_L.jpeg', 'path': 'full/fa56fa58d49f85d48518e9014ade7d86803d4fe3.jpg', 'checksum': 'c4e1bc53c070b80877c6262b36d3ad86'}]",4.1g,,,,<0.5g,,,
7911965,Tariq Halal Beef Frying Steak 360g,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1209622&urlRequestType=Base&categoryId=276043&catalogId=10119&langId=44,£4.00,,,,,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/21/5391509286121/5391509286121_L.jpeg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490kJ /,,,,,,,,,,,,,,,,,,,,0.0g,,,,,,,,,,,,,,,,,,,,,,,,0.0g,,,,,,,,0.2g,,,,,,,,,,,,,,23.0g,,,,,,,,,,,1.1g,,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/21/5391509286121/5391509286121_L.jpeg', 'path': 'full/81ee0c1a8d7debaff1b686817e376df832ec87f4.jpg', 'checksum': '3befe1f22b58f20c11204de8bf90ae3b'}]",2.7g,,,,0.0g,,,
7866045,"Sainsbury's Veal Sirloin Steak, Taste the Difference 170g",https://www.sainsburys.co.uk/shop/gb/groceries/all-beef/sainsburys-veal-sirloin-steak--taste-the-difference-170g,£7.50,,,,Packed in United Kingdom Produced using British veal,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/35/0000000288835/0000000288835_L.jpeg'],,,,,,171kcal,,,,,,,,,,,,,,,,,,,,,,,,720kJ,,,,,,,,,,,,,,,,,,,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.14g,,,,,,,,,,,,,,28.1g,,,,,,,,,,,,2.4g,,,,,,,,,,,,3.3g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/35/0000000288835/0000000288835_L.jpeg', 'path': 'full/d06f88406d90b2809f83fd01ea6cff0be3c0454c.jpg', 'checksum': 'e127635f3684ee7eecea7cc0f655f93b'}]",6.6g,,,,<0.5g,,,
3484920,Gilbert's Salt Beef Brisket 170g,https://www.sainsburys.co.uk/shop/gb/groceries/all-beef/gilberts-salt-beef-brisket-170g,£5.50,,,,,,,,,,<0.1g,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/21/5014759000421/5014759000421_L.jpeg'],5.9g,,,,,,,,,,,,,,,,2.0g,,,,,,,,,,,,,,,,,,,,,,593kj/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9g,,,,,1.9g,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/21/5014759000421/5014759000421_L.jpeg', 'path': 'full/4dbe5225bd4c55ebff95740afaccd585d0839c04.jpg', 'checksum': 'c5c89530ccd4de024cfe998b536b0bd1'}]",,,,,,,,
7908319,Sainsbury's 21 Day Matured British Beef Rump Steak with Garlic & Herb Butter 245g,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1204536&urlRequestType=Base&categoryId=276043&catalogId=10231&langId=44,£3.50,,,,,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/52/0000000318952/0000000318952_L.jpeg'],,3.9g,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4g,,,,,756,,,,,<0.5g,,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.36g,,,,,,,,,,,,,,22.1g,,,,5.3g,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/52/0000000318952/0000000318952_L.jpeg', 'path': 'full/b6eed55496f28e0822f3d1f25fe4a0ae5c0d2567.jpg', 'checksum': 'ac6d8c0037e860c3e2b3bebaa3e1e8c6'}]",10.1g,,,,<0.5g,,,
7876541,"Sainsbury's 30 Day Matured Picanha Steak, Taste the Difference 225g",https://www.sainsburys.co.uk/shop/gb/groceries/all-beef/sainsburys-picanha-steak--taste-the-difference-225g,£4.75,,,,Packed in United Kingdom Produced in United Kingdom Produced using British Beef,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/30/0000000298230/0000000298230_L.jpeg'],,,,,,173kcal,,,,,,,,,,,,,,,,,,,,,,,,724kJ,,,,,,,,,,,,,,,,,,,,,1.1g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.14g,,,,,,,,,,,,,,22.6g,,,,,,,,,,,,3.3g,,,,,,,,,,,,4.1g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/30/0000000298230/0000000298230_L.jpeg', 'path': 'full/0e1d6910b49f50d78237c07b1978cbfedfa853fe.jpg', 'checksum': 'ea67a186c205e8ecd9c5af3c0728956b'}]",9.1g,,,,,,,
7876537,Sainsbury's Flat Iron Steak 225g,https://www.sainsburys.co.uk/shop/gb/groceries/all-beef/sainsburys-flat-iron-steak-225g,£3.50,,,,"Produced in United Kingdom Packed in United Kingdom Produced from British beef Produced using British beef, British or Irish Beef, Irish beef",,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/23/0000000298223/0000000298223_L.jpeg'],,,,,,161kcal,,,,,,,,,,,,,,,,,,,,,,,,677kJ,,,,,,,,,,,,,,,,,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.19g,,,,,,,,,,,,,,26.4g,,,,,,,,,,,,2.5g,,,,,,,,,,,,2.8g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/23/0000000298223/0000000298223_L.jpeg', 'path': 'full/798cda17a775ad8aedc61cd4c70e4c56e1739193.jpg', 'checksum': '7b2918fcdab760d8298a97b961c5c3ff'}]",6.0g,,,,<0.5g,,,
75510,Sainsbury's 21 Day Matured Small Beef Boneless Rib Roast,https://www.sainsburys.co.uk/shop/gb/groceries/all-beef/sainsburys-beef-boneless-rib-roast-small-%28approx-107kg%29,£13.00,,3.5,18,"Produced in United Kingdom Packed in United Kingdom Produced using British beef, British or Irish Beef, Irish beef",,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/00/0275750000000/0275750000000_L.jpeg'],,,,,,296kcal,,,,,,,,,,,,,,,,,,,,,,,,1231kJ,,,,,,,,,,,0g,,,,,,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.20g,,,,,,,,,,,,,,28.9g,,,,,,,,,,,,8.4g,,,,,,,,,,,,10.2g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/00/0275750000000/0275750000000_L.jpeg', 'path': 'full/edb4b96df0ff756f6d07671e96e2e941425c876d.jpg', 'checksum': '930d6113ddc5f82640de885b609a302b'}]",20.0g,,,,<0.5g,,,
7876556,Sainsbury's 21 Day Matured Slow Beef Roast 1kg - 1.8kg,https://www.sainsburys.co.uk/shop/gb/groceries/all-beef/sainsburys-slow-beef-roast-%28approx-1kg%29-7876556-p-44,£8.00,,,,"Produced in United Kingdom Packed in United Kingdom Produced using British or Irish Beef, British or Irish beef",,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/05/0221660000005/0221660000005_L.jpeg'],,,,,,210kcal,,,,,,,,,,,,,,,,,,,,,,,,876kJ,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.25g,,,,,,,,,,,,,,25.2g,,,,,,,,,,,,5.6g,,,,,,,,,,,,5.8g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/05/0221660000005/0221660000005_L.jpeg', 'path': 'full/f22494774dd49d45bc4294ed09254144bd3245e8.jpg', 'checksum': '265a8f5cb746c0ebbcf7e807c7d9d252'}]",12.1g,,,,<0.5g,,,
